,event_net,placebo_net,difference
FOMC_2023_02_01,-0.0010661067984684162,-0.001953141882984118,0.0008870350845157017
FOMC_2023_06_14,0.00464712438644461,0.004714324661731207,-6.720027528659724e-05
FOMC_2023_07_26,-0.004637595342796446,-0.012647088354126944,0.008009493011330499
FOMC_2023_09_20,0.007437919542596828,-0.0025749740280817364,0.010012893570678565
FOMC_2023_11_01,0.00836757855648892,-0.0032456777463986206,0.01161325630288754
FOMC_2023_12_13,0.0033486908418420653,0.003329608451458308,1.908239038375713e-05
FOMC_2024_01_31,-0.00740739062931638,0.0057838639129497715,-0.013191254542266152
FOMC_2024_03_20,0.00505851319527015,0.0007097122417952485,0.004348800953474901
FOMC_2024_05_01,-0.013339384389410737,0.004397730152132973,-0.01773711454154371
FOMC_2024_06_12,0.0165209959130617,0.0028310437221334057,0.013689952190928294
FOMC_2024_07_31,0.005117744570102566,0.004107966080154141,0.001009778489948425
FOMC_2024_09_18,-0.002778989796264511,-8.31530323004378e-06,-0.0027706744930344673
FOMC_2024_11_07,0.013324371115207621,-0.006605308684859679,0.0199296798000673
FOMC_2024_12_18,0.0011959647483797992,0.002936678565398777,-0.001740713817018978
FOMC_2025_01_29,0.0030297664256639526,0.005014564995230342,-0.001984798569566389
FOMC_2025_03_19,0.002246283580645306,0.0012680718919272685,0.0009782116887180376
FOMC_2025_05_07,0.0020905253599566125,-0.004080763378216227,0.006171288738172839
FOMC_2025_06_18,-0.003715824737053537,0.0015377709740419993,-0.005253595711095536
FOMC_2025_07_30,-0.002404013994269968,0.001549922698463575,-0.003953936692733543
FOMC_2025_09_17,0.00018557295101746362,0.0003771734949800823,-0.00019160054396261865
FOMC_2025_10_29,0.0018463237915845804,0.0036459630153815393,-0.0017996392237969588
FOMC_2025_12_10,-0.0018546787744127763,-0.0012913103516900772,-0.0005633684227226991
