event_id,release_timestamp_utc,gross_log_return,cost_log_return,net_log_return,assets
FOMC_2023_02_01,2023-02-01 19:00:00+00:00,-0.0009963403220604394,6.976647640797681e-05,-0.0010661067984684162,4
FOMC_2023_03_22,2023-03-22 18:00:00+00:00,0.008823303474418521,6.839136311051402e-05,0.008754912111308008,4
FOMC_2023_05_03,2023-05-03 18:00:00+00:00,-0.003477330024090862,6.861650763716032e-05,-0.003545946531728022,4
FOMC_2023_06_14,2023-06-14 18:00:00+00:00,0.004714082087365085,6.6957700920476e-05,0.00464712438644461,4
FOMC_2023_07_26,2023-07-26 18:00:00+00:00,-0.004570970097861944,6.662524493450212e-05,-0.004637595342796446,4
FOMC_2023_09_20,2023-09-20 18:00:00+00:00,0.007504418099158812,6.649855656198386e-05,0.007437919542596828,4
FOMC_2023_11_01,2023-11-01 18:00:00+00:00,0.008436766400409919,6.918784392099926e-05,0.00836757855648892,4
FOMC_2023_12_13,2023-12-13 19:00:00+00:00,0.003397608195180291,4.8917353338225546e-05,0.0033486908418420653,4
FOMC_2024_01_31,2024-01-31 19:00:00+00:00,-0.00736012244722411,4.726818209226913e-05,-0.00740739062931638,4
FOMC_2024_03_20,2024-03-20 18:00:00+00:00,0.005102958642491374,4.444544722122407e-05,0.00505851319527015,4
FOMC_2024_05_01,2024-05-01 18:00:00+00:00,-0.013295410212137851,4.3974177272885156e-05,-0.013339384389410737,4
FOMC_2024_06_12,2024-06-12 18:00:00+00:00,0.016564718379590688,4.372246652898867e-05,0.0165209959130617,4
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,0.005160782429368939,4.303785926637353e-05,0.005117744570102566,4
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,-0.002736666469210237,4.232332705427374e-05,-0.002778989796264511,4
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,0.013366276986239866,4.1905871032244114e-05,0.013324371115207621,4
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,0.0012384217935620682,4.2457045182269124e-05,0.0011959647483797992,4
FOMC_2025_01_29,2025-01-29 19:00:00+00:00,0.0030685379711402855,3.8771545476332925e-05,0.0030297664256639526,4
FOMC_2025_03_19,2025-03-19 18:00:00+00:00,0.002287168185118185,4.088460447287924e-05,0.002246283580645306,4
FOMC_2025_05_07,2025-05-07 18:00:00+00:00,0.0021297966671786454,3.927130722203321e-05,0.0020905253599566125,4
FOMC_2025_06_18,2025-06-18 18:00:00+00:00,-0.0036769695834662475,3.885515358728939e-05,-0.003715824737053537,4
FOMC_2025_07_30,2025-07-30 18:00:00+00:00,-0.00236603083936471,3.7983154905258006e-05,-0.002404013994269968,4
FOMC_2025_09_17,2025-09-17 18:00:00+00:00,0.00022192609726836426,3.6353146250900654e-05,0.00018557295101746362,4
FOMC_2025_10_29,2025-10-29 18:00:00+00:00,0.0018805001479003224,3.4176356315742034e-05,0.0018463237915845804,4
FOMC_2025_12_10,2025-12-10 19:00:00+00:00,-0.0018198472197519966,3.483155466077981e-05,-0.0018546787744127763,4
