omitted_asset,events,net_return,median_event_log_return,positive_events
SPXUSD,24,0.03873874692873127,0.0009146376007772187,14
NSXUSD,24,0.03552955515144429,0.000973264409396455,15
GRXEUR,24,0.05025767322733613,0.002060266464165301,15
UKXGBP,24,0.04940706451346152,0.002389775082345085,15
