family,asset,round_trips,gross_log,cost_log,net_log
fx,AUDUSD,3,0.0007217953605318028,0.00037952028753989136,0.0003422750729919113
fx,EURJPY,2,0.0002427870062054938,6.921348418503831e-05,0.0001735735220204555
fx,EURUSD,2,0.0009247521922523366,9.458468019466829e-05,0.0008301675120576682
fx,GBPUSD,2,0.0008957668457214647,9.137990059097642e-05,0.0008043869451304882
fx,NZDUSD,2,0.0010960887738902215,0.0002521747090337454,0.0008439140648564761
fx,USDCAD,2,0.0006496775587100079,8.957302762274604e-05,0.0005601045310872619
fx,USDCHF,3,0.00033639413077236923,0.0002153178946821537,0.00012107623609021554
fx,USDJPY,3,-2.07317564040258e-05,0.00013967454038428146,-0.00016040629678830724
metal,XAGUSD,6,0.009519262447303684,0.00010109260489931799,0.009418169842404366
metal,XAUUSD,4,0.00042600135906810095,6.260180912281489e-06,0.0004197411781558195
us_index,NSXUSD,7,0.005652291811048881,2.8219035660648725e-05,0.005624072775388232
us_index,SPXUSD,7,-0.0010055478393176326,0.00014469666367439827,-0.0011502445029920312
