events,round_trips,trade_legs,net_return,mean_event_log_return,positive_events,bootstrap_p_mean_positive,bootstrap_ci95,cost_multiplier
7,88,176,-0.0015048596563290808,-0.00021514187069643503,1,0.031,"[-0.00046318379704817186, 1.5471858750196928e-06]",0.0
7,88,176,-0.003406349072210577,-0.00048745198397540416,0,0.0,"[-0.0007318092944022747, -0.0002720037659556814]",1.0
7,88,176,-0.005304217376829113,-0.0007597620972543733,0,0.0,"[-0.0010000138308334204, -0.0005451337392018706]",2.0
7,88,176,-0.009089118222673394,-0.0013043823238123114,0,0.0,"[-0.001545657664684883, -0.0010913936856942487]",4.0

