events,round_trips,trade_legs,net_return,mean_event_log_return,positive_events,bootstrap_p_mean_positive,bootstrap_ci95,cost_multiplier
7,97,194,-0.00035347234067752863,-5.05049752500724e-05,2,0.3365,"[-0.00027535765659207406, 0.00023762802301554494]",0.0
7,97,194,-0.0024572734424684766,-0.00035147107054530724,1,0.0097,"[-0.0005730658034092141, -6.456345606726201e-05]",1.0
7,97,194,-0.004556647000169153,-0.000652437165840542,1,0.0,"[-0.0008705410482945867, -0.0003675162318128827]",2.0
7,97,194,-0.008742148735552737,-0.0012543693564310116,0,0.0,"[-0.0014673235701878446, -0.0009701020799126528]",4.0

