events,round_trips,trade_legs,net_return,mean_event_log_return,positive_events,bootstrap_p_mean_positive,bootstrap_ci95,cost_multiplier
7,88,176,-0.0010968171899876395,-0.00015677416202149853,2,0.0502,"[-0.00033114887447132626, 2.9576310395966562e-05]",0.0
7,88,176,-0.003278528203256307,-0.0004691306217851709,0,0.0,"[-0.0006433911180775208, -0.0002888524163689703]",1.0
7,88,176,-0.005455474127147616,-0.0007814870815488433,0,0.0,"[-0.0009528909973924185, -0.0006078365709131709]",2.0
7,88,176,-0.009795112313919383,-0.0014062000010761882,0,0.0,"[-0.0015792942177183763, -0.0012380649508832518]",4.0

