event_id,gross,cost_1x,net,round_trips
FOMC_2024_07_31,0.00013590212615635373,0.0003467556123421578,0.00013590212615635373,12
FOMC_2024_09_18,0.0026289336267502103,0.00033353455107033424,0.0026289336267502103,12
FOMC_2024_11_07,0.0010924382410745315,0.0003316025857365719,0.0010924382410745315,10
FOMC_2024_12_18,-0.005084679915949393,0.00030845899593367283,-0.005084679915949393,12
FOMC_2025_01_29,0.0016442627895198155,0.0003214167718448353,0.0016442627895198155,12
FOMC_2025_03_19,0.00047115023781716314,0.0003473390059669609,0.00047115023781716314,12
FOMC_2025_05_07,-0.0009578163738850507,0.0003313415356044771,-0.0009578163738850507,12
FOMC_2025_06_18,-0.00010138770481404827,0.00031973923855519717,-0.00010138770481404827,12
FOMC_2025_07_30,-0.00011939499534226761,0.00030565899800812167,-0.00011939499534226761,12
FOMC_2025_09_17,0.0008174208800669331,0.0003177448588432247,0.0008174208800669331,12
FOMC_2025_10_29,-0.0013738990672451897,0.0003431696634727035,-0.0013738990672451897,12
FOMC_2025_12_10,0.0009252536255703716,0.00033190341593500035,0.0009252536255703716,12
