event_id,gross,cost_1x,net,round_trips
FOMC_2024_07_31,-0.00017924956244420946,0.0003467556123421578,-0.0015662720118128407,12
FOMC_2024_09_18,-0.0008442520733321656,0.00033353455107033424,-0.0021783902776135026,12
FOMC_2024_11_07,-0.0020203541481177384,0.0003316025857365719,-0.0033467644910640257,10
FOMC_2024_12_18,0.0072088442399720395,0.00030845899593367283,0.005975008256237349,12
FOMC_2025_01_29,-0.0018085787363552378,0.0003214167718448353,-0.003094245823734579,12
FOMC_2025_03_19,0.001329330261881202,0.0003473390059669609,-6.0025761986641626e-05,12
FOMC_2025_05_07,-0.0007667230068512188,0.0003313415356044771,-0.002092089149269127,12
FOMC_2025_06_18,9.123634479357029e-05,0.00031973923855519717,-0.0011877206094272183,12
FOMC_2025_07_30,0.0006250707719145786,0.00030565899800812167,-0.000597565220117908,12
FOMC_2025_09_17,-0.0022823144897196786,0.0003177448588432247,-0.0035532939250925775,12
FOMC_2025_10_29,0.003911586164042501,0.0003431696634727035,0.0025389075101516874,12
FOMC_2025_12_10,0.002416716440846501,0.00033190341593500035,0.0010891027771065,12
