lookback_h4,oos_start,oos_end,total_return,annualized_return,sharpe,max_drawdown,annualized_turnover
6,2019-05-27,2022-03-04,-0.20869316361985935,-0.07865831398543222,-1.8157736458139446,-0.23712802204090366,518.2799498388252
12,2019-05-27,2022-03-04,-0.13954294102767106,-0.05124250311322254,-1.1353419793809822,-0.21282229446177314,368.03256252758615
30,2019-05-27,2022-03-04,-0.1815412262852374,-0.0677146000368366,-1.5078515991996637,-0.2190481748087455,243.8846045889189
