lookback_bars,cost_pips_roundtrip,oos_start,oos_end,bars,total_return,annualized_return,sharpe,max_drawdown,trades_proxy
6,2.2,2019-05-27,2022-03-04,4320,-0.25344484771528997,-0.09724133845694694,-1.6384238254080081,-0.2869321748937347,779
12,2.2,2019-05-27,2022-03-04,4320,-0.1093415984905528,-0.03971773286522551,-0.652097349897333,-0.228827378766445,543
30,2.2,2019-05-27,2022-03-04,4320,-0.14254140665467596,-0.05240097542638411,-0.8677829646375244,-0.21183640638447165,306
