excluded_asset,net_return
EURUSD,0.01838120066231304
GBPUSD,0.01840756450274612
AUDUSD,0.017984381473972667
NZDUSD,0.01797528539434186
USDJPY,0.01812421133572102
USDCHF,0.01858343412236278
USDCAD,0.01992859346609031
EURJPY,0.018015231642184
XAUUSD,0.017375346523144514
XAGUSD,0.017005772793140847
SPXUSD,0.017329652131203483
NSXUSD,0.01738895936752186
