event_id,release_timestamp_utc,event_net,control_mean_net,difference
FOMC_2023_02_01,2023-02-01 19:00:00+00:00,-0.0010661067984684162,0.00042833017705251185,-0.001494436975520928
FOMC_2023_03_22,2023-03-22 18:00:00+00:00,0.008754912111308008,3.5631925989447824e-05,0.00871928018531856
FOMC_2023_05_03,2023-05-03 18:00:00+00:00,-0.003545946531728022,-2.3226059654770162e-05,-0.003522720472073252
FOMC_2023_06_14,2023-06-14 18:00:00+00:00,0.00464712438644461,-0.0066595863131182955,0.011306710699562905
FOMC_2023_07_26,2023-07-26 18:00:00+00:00,-0.004637595342796446,0.002026418114677285,-0.006664013457473731
FOMC_2023_09_20,2023-09-20 18:00:00+00:00,0.007437919542596828,0.0012099995563087055,0.0062279199862881225
FOMC_2023_11_01,2023-11-01 18:00:00+00:00,0.00836757855648892,-0.0027274860731988596,0.01109506462968778
FOMC_2023_12_13,2023-12-13 19:00:00+00:00,0.0033486908418420653,0.0037513264342578594,-0.0004026355924157941
FOMC_2024_01_31,2024-01-31 19:00:00+00:00,-0.00740739062931638,-0.001297827914942201,-0.0061095627143741785
FOMC_2024_03_20,2024-03-20 18:00:00+00:00,0.00505851319527015,4.463299383556177e-05,0.005013880201434588
FOMC_2024_05_01,2024-05-01 18:00:00+00:00,-0.013339384389410737,0.0013099221477515148,-0.014649306537162253
FOMC_2024_06_12,2024-06-12 18:00:00+00:00,0.0165209959130617,0.001595409934317631,0.014925585978744068
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,0.005117744570102566,-0.001345861019733139,0.006463605589835705
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,-0.002778989796264511,-0.003097307887978075,0.000318318091713564
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,0.013324371115207621,-0.00199143546879987,0.015315806584007491
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,0.0011959647483797992,0.0018216438697043682,-0.000625679121324569
FOMC_2025_01_29,2025-01-29 19:00:00+00:00,0.0030297664256639526,0.0053834631773761995,-0.002353696751712247
FOMC_2025_03_19,2025-03-19 18:00:00+00:00,0.002246283580645306,0.004584948738512876,-0.00233866515786757
FOMC_2025_05_07,2025-05-07 18:00:00+00:00,0.0020905253599566125,-0.005774895291528257,0.00786542065148487
FOMC_2025_06_18,2025-06-18 18:00:00+00:00,-0.003715824737053537,0.002015246478731873,-0.00573107121578541
FOMC_2025_07_30,2025-07-30 18:00:00+00:00,-0.002404013994269968,0.0020785226640254784,-0.0044825366582954464
FOMC_2025_09_17,2025-09-17 18:00:00+00:00,0.00018557295101746362,-0.00020590471641292337,0.000391477667430387
FOMC_2025_10_29,2025-10-29 18:00:00+00:00,0.0018463237915845804,0.005494463920404589,-0.0036481401288200087
FOMC_2025_12_10,2025-12-10 19:00:00+00:00,-0.0018546787744127763,0.005242745636674633,-0.0070974244110874095
