event_id,release_timestamp_utc,event_net,control_mean_net,difference
FOMC_2023_02_01,2023-02-01 19:00:00+00:00,-0.0005846592760490842,6.84013922935408e-05,-0.000653060668342625
FOMC_2023_03_22,2023-03-22 18:00:00+00:00,0.008818325050519401,0.00020275568664935044,0.00861556936387005
FOMC_2023_05_03,2023-05-03 18:00:00+00:00,-0.0035557823707916,-8.49515406967415e-05,-0.0034708308300948586
FOMC_2023_06_14,2023-06-14 18:00:00+00:00,0.005051525374318191,-0.006712254069323925,0.011763779443642116
FOMC_2023_07_26,2023-07-26 18:00:00+00:00,-0.005378819959972452,0.0021493735533438195,-0.007528193513316272
FOMC_2023_09_20,2023-09-20 18:00:00+00:00,0.007721365896157361,0.0011909793121338288,0.006530386584023532
FOMC_2023_11_01,2023-11-01 18:00:00+00:00,0.008804783947337125,-0.002621620767484097,0.011426404714821222
FOMC_2023_12_13,2023-12-13 19:00:00+00:00,0.003685777703621425,0.00388026136529901,-0.0001944836616775852
FOMC_2024_01_31,2024-01-31 19:00:00+00:00,-0.008163844257073265,-0.0011097613598172412,-0.007054082897256024
FOMC_2024_03_20,2024-03-20 18:00:00+00:00,0.005477385599424038,-0.00017720201767855036,0.005654587617102588
FOMC_2024_05_01,2024-05-01 18:00:00+00:00,-0.01413183681468436,0.0013429500086739644,-0.015474786823358325
FOMC_2024_06_12,2024-06-12 18:00:00+00:00,0.016850243010078494,0.001910042177753439,0.014940200832325055
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,0.005468853030525925,-0.0016247944015828023,0.007093647432108727
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,-0.00258343082094722,-0.0035367679821232834,0.0009533371611760632
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,0.014088339803701812,-0.002053083982267356,0.016141423785969167
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,0.000899137912444962,0.001988120376468842,-0.0010889824640238801
FOMC_2025_01_29,2025-01-29 19:00:00+00:00,0.002832165237091726,0.0055731807265608935,-0.0027410154894691677
FOMC_2025_03_19,2025-03-19 18:00:00+00:00,0.002621478802475357,0.00539864603521938,-0.0027771672327440234
FOMC_2025_05_07,2025-05-07 18:00:00+00:00,0.0032204654757344376,-0.006168042499577775,0.009388507975312214
FOMC_2025_06_18,2025-06-18 18:00:00+00:00,-0.0042390673600384956,0.0022092168946960295,-0.0064482842547345254
FOMC_2025_07_30,2025-07-30 18:00:00+00:00,-0.0021939522580898783,0.0022216431442677537,-0.004415595402357632
FOMC_2025_09_17,2025-09-17 18:00:00+00:00,-0.00018430692285865838,-0.0005825753203146382,0.0003982683974559798
FOMC_2025_10_29,2025-10-29 18:00:00+00:00,0.002085439016619281,0.005474336863523818,-0.003388897846904537
FOMC_2025_12_10,2025-12-10 19:00:00+00:00,-0.0025028635137512223,0.0057206543033838575,-0.00822351781713508
