cost_multiplier,events,net_return,mean_event_log_return,positive_events
0.0,24,0.04456191595833661,0.0018165657642176239,15
1.0,24,0.043335044622482874,0.0017675981706603908,15
2.0,24,0.04210961428620203,0.0017186305771031585,15
4.0,24,0.039663069844346734,0.0016206953899886934,15
