phase,events,mean_difference,event_log_return,control_mean_log_return
1,8,0.003158146125421708,0.023306576765687547,-0.001958592237686116
2,8,0.002581581009109302,0.017691824727030205,-0.0029608233458442096
3,8,-0.0021743295005816044,0.0014239546031316339,0.018818590607784468
