family,event_total,event_present,control_total,control_present,event_availability,control_availability,absolute_gap_pp
fx,192,158,768,631,0.8229166666666666,0.8216145833333334,0.13020833333332593
metal,48,40,192,158,0.8333333333333334,0.8229166666666666,1.041666666666674
us_index,48,40,192,157,0.8333333333333334,0.8177083333333334,1.5625
