omitted_asset,events,net_return,median_event_log_return,positive_events
SPXUSD,8,0.015797622633833306,0.004453954263386068,6
NSXUSD,8,0.011279343272618134,0.004219914997527226,6
GRXEUR,8,0.007854746589967921,0.003801637678561207,5
UKXGBP,8,0.017067699947443834,0.006184457802582271,6
