asset,events,gross_log_return,net_log_return,net_return
GRXEUR,8,0.03078060962864653,0.030606894811818768,0.03108010127156744
NSXUSD,8,0.021463486160057228,0.021295352491181578,0.021523716661094535
SPXUSD,8,0.008157647437579539,0.007567098919662403,0.007595801766107882
UKXGBP,8,0.00489350894426646,0.004497084030901528,0.004507211088343997
