event_id,release_timestamp_utc,window_start,window_end,asset,start_quote,end_quote,start_price,end_price,gross_log_return,pre_event_vol,weight,cost_1x
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,2024-07-30 15:00:00+00:00,2024-07-31 15:00:00+00:00,NSXUSD,2024-07-30 15:00:00+00:00,2024-07-31 15:00:00+00:00,18791.097,19375.919,0.030647812533248768,0.0007672671548792396,0.1707102861398321,3.6338546097618905e-06
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,2024-07-30 15:00:00+00:00,2024-07-31 15:00:00+00:00,GRXEUR,2024-07-30 15:00:00+00:00,2024-07-31 15:00:00+00:00,18418.966,18557.966,0.0075182362200453285,0.00048357264390384944,0.2708598122874238,5.8821936538114855e-06
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,2024-07-30 15:00:00+00:00,2024-07-31 15:00:00+00:00,UKXGBP,2024-07-30 15:00:00+00:00,2024-07-31 15:00:00+00:00,8273.484,8400.708,0.015260285949116936,0.0004407732880727536,0.29716046570750987,1.4366884166694943e-05
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,2024-09-17 15:00:00+00:00,2024-09-18 15:00:00+00:00,SPXUSD,2024-09-17 15:00:00+00:00,2024-09-18 15:00:00+00:00,5623.357,5633.436,0.0017907414115913472,0.0005220985183173333,0.25764808241317017,1.8326994527515873e-05
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,2024-09-17 15:00:00+00:00,2024-09-18 15:00:00+00:00,NSXUSD,2024-09-17 15:00:00+00:00,2024-09-18 15:00:00+00:00,19388.599,19412.999,0.0012576803262713534,0.0007612607530778044,0.17670381867363916,3.645520105369948e-06
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,2024-09-17 15:00:00+00:00,2024-09-18 15:00:00+00:00,GRXEUR,2024-09-17 15:00:00+00:00,2024-09-18 15:00:00+00:00,18671.199,18759.199,0.004702069271929541,0.0005259708841882436,0.25575119482673647,5.47905241279334e-06
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,2024-09-17 15:00:00+00:00,2024-09-18 15:00:00+00:00,UKXGBP,2024-09-17 15:00:00+00:00,2024-09-18 15:00:00+00:00,8285.995,8258.501,-0.0033236461611948517,0.00043407236503947437,0.30989690408645426,1.4960033361664072e-05
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,2024-11-06 16:00:00+00:00,2024-11-07 16:00:00+00:00,SPXUSD,2024-11-06 16:00:00+00:00,2024-11-07 16:00:00+00:00,5929.486,5973.357,0.007371549580447735,0.0004153191500798371,0.2875755497610291,1.9399694999602267e-05
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,2024-11-06 16:00:00+00:00,2024-11-07 16:00:00+00:00,NSXUSD,2024-11-06 16:00:00+00:00,2024-11-07 16:00:00+00:00,20782.275,21100.453,0.01519404949782988,0.0005800625099088132,0.20590131385885976,3.96301779009006e-06
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,2024-11-06 16:00:00+00:00,2024-11-07 16:00:00+00:00,GRXEUR,2024-11-06 16:00:00+00:00,2024-11-07 16:00:00+00:00,19112.288,19431.455,0.016561665808832095,0.0005108901438831905,0.2337794814413178,4.892757611047256e-06
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,2024-11-06 16:00:00+00:00,2024-11-07 16:00:00+00:00,UKXGBP,2024-11-06 16:00:00+00:00,2024-11-07 16:00:00+00:00,8181.864,8178.718,-0.00038458290038522776,0.0004379043499189568,0.2727436549387932,1.3334059570718517e-05
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,2024-12-17 16:00:00+00:00,2024-12-18 16:00:00+00:00,SPXUSD,2024-12-17 16:00:00+00:00,2024-12-18 16:00:00+00:00,6043.11,5850.937,-0.03231696073517503,0.00023543709641907462,0.3403228794754769,2.2526340210618504e-05
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,2024-12-17 16:00:00+00:00,2024-12-18 16:00:00+00:00,NSXUSD,2024-12-17 16:00:00+00:00,2024-12-18 16:00:00+00:00,21964.289,21067.142,-0.04170333170350471,0.0003852797710069366,0.20796480017437097,3.787325875640609e-06
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,2024-12-17 16:00:00+00:00,2024-12-18 16:00:00+00:00,GRXEUR,2024-12-17 16:00:00+00:00,2024-12-18 16:00:00+00:00,20227.299,19960.788,-0.013263378621525016,0.00037829720138833313,0.21180339239791177,4.188466139703809e-06
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,2024-12-17 16:00:00+00:00,2024-12-18 16:00:00+00:00,UKXGBP,2024-12-17 16:00:00+00:00,2024-12-18 16:00:00+00:00,8187.11,8087.22,-0.012275928340593488,0.00033397936155437995,0.23990892795224034,1.1721299845842567e-05
