cost_multiplier,events,net_return,mean_event_log_return,median_event_log_return,positive_events
0.0,8,0.012953512085042895,0.001608791610726261,0.004875088774044272,6
1.0,8,0.012600224285843996,0.0015651877560817656,0.004830823527274522,6
2.0,8,0.012247059702831804,0.001521583901437271,0.004786558280504774,6
4.0,8,0.011541100013486048,0.0014343761921482793,0.004698027786965275,6
