regime,observations,start,end,total_return,sharpe,max_drawdown
low_usdjpy_vol,117,2025-06-10,2025-12-29,0.04091964821886629,1.266751034044762,-0.026146821912225726
high_usdjpy_vol,60,2025-04-24,2025-10-22,0.009518064232270085,0.49127408947421214,-0.035270531913267344
warmup_unclassified,81,2025-01-01,2025-04-23,-0.08438490834379186,-3.0149012959715793,-0.10217720002626496
