model,cost_pips,oos_start,oos_end,observations,gross_total_return,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,positive_calendar_year_fraction
full,2.2,2021-01-01,2023-02-27,788,0.24065467400966978,0.2086736715994315,0.09175550486460793,1.4323197716554659,-0.062460725856162136,62.30222324481542,1.0
full,4.4,2021-01-01,2023-02-27,788,0.24065467400966978,0.17751706016324142,0.07862843898057559,1.2333592599713405,-0.07562331679386103,62.30222324481542,0.6666666666666666
ensemble,2.2,2021-01-01,2023-02-27,788,0.13299494938240009,0.11842318546199238,0.05320830579908775,1.0316950690590834,-0.05108315055334156,30.855175315001777,1.0
ensemble,4.4,2021-01-01,2023-02-27,788,0.13299494938240009,0.10403883305993955,0.04691220614332625,0.9117335410454545,-0.058778717925182966,30.855175315001777,1.0
