session,currency_weight_AUD,currency_weight_EUR,currency_weight_GBP,currency_weight_JPY,currency_weight_USD,instrument_weight_EURUSD,instrument_weight_USDJPY,instrument_weight_GBPUSD,instrument_weight_AUDUSD
2024-01-01 05:00:00+00:00,0.25,0.0,-0.25,0.25,-0.25,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333
2024-02-01 05:00:00+00:00,0.0,0.25,-0.25,0.25,-0.25,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0
2024-03-03 05:00:00+00:00,-0.25,0.25,-0.25,0.25,0.0,0.25,-0.25,-0.25,-0.25
2024-04-01 05:00:00+00:00,0.0,0.25,-0.25,0.25,-0.25,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0
