phase,start,end,observations,net_return,annualized_mean,sharpe,max_drawdown
1,2024-03-02,2024-05-17,77,0.0391399017470786,0.12565097487724977,1.9355066497010183,-0.03739156642865871
2,2024-05-18,2024-08-01,76,-0.012972502364357319,-0.04329552356745566,-0.5773358178675373,-0.03720161968739544
3,2024-08-02,2024-10-16,76,0.02574627302744492,0.08428875747611002,1.1886512949620922,-0.03203236109892316
4,2024-10-17,2024-12-31,76,0.001991135742654304,0.006595622723024334,0.1084014003570622,-0.026125322283053087
