quartile,decisions,train_rows_min,train_rows_max,median_rank,mean_spread
1,19,100,172,-0.316227766016838,-0.0032166537897512894
2,18,176,244,-0.258113883008419,-0.004848944708499642
3,18,248,316,0.19999999999999998,0.0009816776814852166
4,18,320,388,0.0,0.001183152070019272
