year,observations,total_return,annualized_mean,sharpe,max_drawdown
2024,108,-0.06447370302545041,-0.15550738837370007,-2.7926319555173036,-0.0673055003605163
2025,257,-0.01153759788131814,-0.011378900545720749,-0.2828832493887477,-0.06444848807151626
