model,lookback_h4,cost_bps_per_unit_turnover,oos_start,oos_end,gross_total_return,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,breakeven_cost_bps,oos_observations
continuous,6,5.0,2019-05-20,2022-03-04,0.12633146533121997,-0.39338353235570966,-0.160501414859335,-1.6369625608023342,-0.41089298560446375,433.1770780583728,0.961224711850338,4320
sparse,6,5.0,2019-05-20,2022-03-04,0.11208356414626963,-0.1512775530859698,-0.05579131468915899,-0.5357087598658552,-0.30266730676073295,189.18088307288477,1.9654400916476669,4320
continuous,12,5.0,2019-05-20,2022-03-04,0.3455272343249718,-0.11121243646346779,-0.04042419466049563,-0.38851095456343876,-0.21264176706741966,290.2780756396021,3.578467852922833,4320
sparse,12,5.0,2019-05-20,2022-03-04,-0.10804032071192837,-0.22935950978846464,-0.08715269393098057,-0.8461399345817802,-0.34243922458660236,102.33926808537933,-3.910231454077818,4320
continuous,30,5.0,2019-05-20,2022-03-04,0.0982451271673026,-0.17612068499189837,-0.06555819480371095,-0.6373589416436308,-0.2773515564425849,201.21135238779482,1.6301142080609587,4320
sparse,30,5.0,2019-05-20,2022-03-04,-0.10644932123146578,-0.1616203447721999,-0.059834618252677774,-0.5644085851569359,-0.3372297284177844,44.6124037027677,-8.830118093473933,4320
