asset,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
EURUSD,258,2025-01-01,2025-12-29,0.029240516794125204,0.028150908201347375,1.2494249649637899,-0.012907470151914957
USDJPY,258,2025-01-01,2025-12-29,-0.004337765824313666,-0.004246103523149805,-0.1394468961430622,-0.03812270547944585
GBPUSD,258,2025-01-01,2025-12-29,-0.024723676826258978,-0.024452243480197394,-1.0307453358660592,-0.039860394504472874
AUDUSD,258,2025-01-01,2025-12-29,0.010354776508361585,0.010061962508213356,0.6410429711563247,-0.009553673267388207
