decision,rank_correlation,realized_winner_minus_loser
2024-07-30 05:00:00+00:00,1.0,0.0670137692755454
2024-08-06 05:00:00+00:00,-0.39999999999999997,-0.0236219486634776
2024-08-13 05:00:00+00:00,-0.39999999999999997,-0.0023298783644718993
2024-08-20 05:00:00+00:00,0.7999999999999999,0.003470973959787099
2024-08-27 05:00:00+00:00,0.7378647873726218,0.0006955128985660988
2024-09-03 05:00:00+00:00,-0.316227766016838,-0.0226569127839793
2024-09-10 05:00:00+00:00,-0.39999999999999997,-0.0070583171631471
2024-09-17 05:00:00+00:00,-0.39999999999999997,-0.0256891336876751
2024-09-24 05:00:00+00:00,-0.39999999999999997,-0.0017569856311263998
2024-10-01 05:00:00+00:00,-0.19999999999999998,-0.0054875715029688
2024-10-08 05:00:00+00:00,0.7378647873726218,0.0013717985362424
2024-10-15 05:00:00+00:00,0.6000000000000001,0.0017752307351565008
2024-10-22 05:00:00+00:00,0.0,-0.016776056947361
2024-10-29 05:00:00+00:00,-0.39999999999999997,-0.0076776649768807
2024-11-05 05:00:00+00:00,-0.316227766016838,-0.002443129898341799
2024-11-12 05:00:00+00:00,0.2581988897471611,-0.0009566057356257
2024-11-19 05:00:00+00:00,-0.39999999999999997,-0.0184698569057761
2024-11-26 05:00:00+00:00,-0.4472135954999579,-1.0846222353999915e-05
2024-12-03 05:00:00+00:00,0.2581988897471611,-0.0005087989273865022
2024-12-10 05:00:00+00:00,0.2581988897471611,0.0014440676468685998
2024-12-17 05:00:00+00:00,0.2581988897471611,0.0057059983272294
2024-12-25 05:00:00+00:00,-0.316227766016838,-0.0104517704228925
2025-01-02 05:00:00+00:00,-0.316227766016838,-0.0012291206739902995
2025-01-09 05:00:00+00:00,-0.9486832980505139,-0.0233951215537712
2025-01-16 05:00:00+00:00,0.316227766016838,0.0158164815644916
2025-01-23 05:00:00+00:00,-0.19999999999999998,-0.005177226706411801
2025-01-30 05:00:00+00:00,-1.0,-0.0193144635777389
2025-02-06 05:00:00+00:00,-0.39999999999999997,-0.0160507780969756
2025-02-13 05:00:00+00:00,-0.39999999999999997,-0.0119065869957807
2025-02-20 05:00:00+00:00,-0.6000000000000001,-0.004798442321910399
2025-02-27 05:00:00+00:00,-0.39999999999999997,-0.0139952901328253
2025-03-06 05:00:00+00:00,-0.39999999999999997,-0.013726068622097999
2025-03-13 05:00:00+00:00,-0.19999999999999998,-0.007766792653888358
2025-03-20 05:00:00+00:00,0.7999999999999999,0.0058041232160068006
2025-03-27 05:00:00+00:00,0.19999999999999998,0.008664328981189299
2025-04-03 05:00:00+00:00,-0.19999999999999998,-0.0052271756884275
2025-04-10 05:00:00+00:00,0.6000000000000001,0.008322832957931299
2025-04-17 05:00:00+00:00,0.39999999999999997,0.0063131235430653
2025-04-24 05:00:00+00:00,0.6000000000000001,0.0041234173814099
2025-05-01 05:00:00+00:00,0.19999999999999998,0.0013585368475717
2025-05-08 05:00:00+00:00,0.0,0.00032708405917550006
2025-05-15 05:00:00+00:00,0.7999999999999999,0.0028673911374761003
2025-05-22 05:00:00+00:00,0.10540925533894598,-0.0019021398865913001
2025-05-29 05:00:00+00:00,0.0,-0.0006599011854202998
2025-06-05 05:00:00+00:00,0.0,0.0010688199464039005
2025-06-12 05:00:00+00:00,-0.7999999999999999,-0.005571789888538599
2025-06-19 05:00:00+00:00,1.0,0.013587514099488503
2025-06-26 05:00:00+00:00,0.39999999999999997,0.0006204795380127998
2025-07-03 05:00:00+00:00,0.19999999999999998,0.0075574062392275996
2025-07-10 05:00:00+00:00,-0.7999999999999999,-0.005914506887965701
2025-07-17 05:00:00+00:00,0.39999999999999997,0.002905604097205399
2025-07-24 05:00:00+00:00,0.39999999999999997,0.0038756545429734987
2025-07-31 05:00:00+00:00,0.39999999999999997,0.0057760928170154
2025-08-07 05:00:00+00:00,-0.7999999999999999,-0.0109739832262758
2025-08-14 05:00:00+00:00,-0.7999999999999999,-0.0076886049075
2025-08-21 05:00:00+00:00,0.316227766016838,0.0013149562408838996
2025-08-28 05:00:00+00:00,0.6000000000000001,0.0026861714494567
2025-09-04 05:00:00+00:00,-0.7999999999999999,-0.013394106396100601
2025-09-11 05:00:00+00:00,0.39999999999999997,0.0011063526683113
2025-09-18 05:00:00+00:00,-0.316227766016838,-0.0017418582437351005
2025-09-25 05:00:00+00:00,0.7999999999999999,0.012734712059042499
2025-10-02 05:00:00+00:00,0.7999999999999999,0.0073296404881322995
2025-10-09 05:00:00+00:00,0.7999999999999999,0.027354683658201602
2025-10-16 05:00:00+00:00,-0.39999999999999997,-0.0083520079635504
2025-10-23 05:00:00+00:00,-0.39999999999999997,-0.0167753141714206
2025-10-30 05:00:00+00:00,0.7999999999999999,0.017290676581476698
2025-11-06 05:00:00+00:00,-0.21081851067789195,0.0029040102492562
2025-11-13 05:00:00+00:00,-0.7999999999999999,-0.010455169608710698
2025-11-20 05:00:00+00:00,0.7999999999999999,0.0069056552349363995
2025-11-27 05:00:00+00:00,-0.21081851067789195,-0.0048046147013995006
2025-12-04 05:00:00+00:00,0.0,0.0030755035212571002
2025-12-11 05:00:00+00:00,-0.7999999999999999,-0.0013682922480115
2025-12-18 05:00:00+00:00,0.0,-0.0045142615576793995
