model,old_m_plus_2_return,corrected_m_plus_3_return,return_difference,old_sharpe,corrected_sharpe,sharpe_difference,changed_daily_returns,max_absolute_daily_return_change
carry_2025,-0.03784676767787576,-0.03757001562828133,0.0002767520495944309,-0.4753800628292191,-0.4718254737824523,0.003554589046766754,258,2.1711350371606507e-05
reer_value_2025,0.009788658537659423,0.009698222201223183,-9.043633643623927e-05,0.26169374594337147,0.2592920332655493,-0.0024017126778221876,258,1.3378343170112206e-05
reer_value_2024,-0.07424892095584079,-0.07452822401164905,-0.00027930305580825543,-1.9761913773396476,-1.9837738381713987,-0.007582460831751181,259,8.815474579024207e-06
