year,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
2024,238,2024-01-31,2024-12-30,0.023924396142737114,0.025033438587969945,0.5098861506202904,-0.056304253029301976
2025,258,2025-01-01,2025-12-29,0.029970093320389246,0.028843027459690026,0.6350054518042418,-0.04132388946023968
