cost_multiplier_vs_locked,observations,start,end,total_return,sharpe,max_drawdown
0.0,258,2025-01-01,2025-12-29,-0.037507503670147324,-0.470902807676002,-0.10217720002626485
0.5,258,2025-01-01,2025-12-29,-0.037677150624823796,-0.47314225577101976,-0.10217720002626496
1.0,258,2025-01-01,2025-12-29,-0.03784676767787576,-0.4753800628292191,-0.10217720002626496
2.0,258,2025-01-01,2025-12-29,-0.038185912100186625,-0.47985061814563773,-0.10217720002626507
