cost_multiplier_vs_locked,observations,start,end,net_total_return,net_sharpe,max_drawdown
0.0,258,2024-01-01,2024-12-30,-0.027177503845960405,-0.48957929949685425,-0.05751628227965777
0.5,258,2024-01-01,2024-12-30,-0.030033550549697585,-0.5416406968154388,-0.05774016767174295
1.0,258,2024-01-01,2024-12-30,-0.03288121237047181,-0.593572525793253,-0.05796399988023693
2.0,258,2024-01-01,2024-12-30,-0.03855147975740558,-0.6969494922932733,-0.05841150479698287
