regime,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
low_vix,222,2025-01-01,2025-12-29,0.019192664857841768,0.021579837072231992,0.655569459270674,-0.023304153438756137
high_vix,36,2025-03-05,2025-11-24,-0.00922691719086699,-0.06488824205090046,-1.2180323478082347,-0.023533754018040365
