year,observations,total_return,annualized_mean,sharpe,max_drawdown
2024,108,-0.041531076940759304,-0.09897565882274764,-1.7610934080701992,-0.07796841534849319
2025,257,-0.07944754095218864,-0.08117075926362458,-1.8689430031301097,-0.07766735643732814
