decision,train_rows,rank_correlation,winner_minus_loser,quartile,rolling20_rank,rolling20_spread
2024-07-30 05:00:00+00:00,100,1.0,0.0670137692755454,1,,
2024-08-06 05:00:00+00:00,104,-0.39999999999999997,-0.0236219486634776,1,,
2024-08-13 05:00:00+00:00,108,-0.39999999999999997,-0.0023298783644718993,1,,
2024-08-20 05:00:00+00:00,112,0.7999999999999999,0.003470973959787099,1,,
2024-08-27 05:00:00+00:00,116,0.7378647873726218,0.0006955128985660988,1,,
2024-09-03 05:00:00+00:00,120,-0.316227766016838,-0.0226569127839793,1,,
2024-09-10 05:00:00+00:00,124,-0.39999999999999997,-0.0070583171631471,1,,
2024-09-17 05:00:00+00:00,128,-0.39999999999999997,-0.0256891336876751,1,,
2024-09-24 05:00:00+00:00,132,-0.39999999999999997,-0.0017569856311263998,1,,
2024-10-01 05:00:00+00:00,136,-0.19999999999999998,-0.0054875715029688,1,,
2024-10-08 05:00:00+00:00,140,0.7378647873726218,0.0013717985362424,1,,
2024-10-15 05:00:00+00:00,144,0.6000000000000001,0.0017752307351565008,1,,
2024-10-22 05:00:00+00:00,148,0.0,-0.016776056947361,1,,
2024-10-29 05:00:00+00:00,152,-0.39999999999999997,-0.0076776649768807,1,,
2024-11-05 05:00:00+00:00,156,-0.316227766016838,-0.002443129898341799,1,,
2024-11-12 05:00:00+00:00,160,0.2581988897471611,-0.0009566057356257,1,,
2024-11-19 05:00:00+00:00,164,-0.39999999999999997,-0.0184698569057761,1,,
2024-11-26 05:00:00+00:00,168,-0.4472135954999579,-1.0846222353999915e-05,1,,
2024-12-03 05:00:00+00:00,172,0.2581988897471611,-0.0005087989273865022,1,,
2024-12-10 05:00:00+00:00,176,0.2581988897471611,0.0014440676468685998,2,-0.258113883008419,-0.002983617717920295
2024-12-17 05:00:00+00:00,180,0.2581988897471611,0.0057059983272294,2,-0.258113883008419,-0.006049006265336096
2024-12-25 05:00:00+00:00,184,-0.316227766016838,-0.0104517704228925,2,-0.258113883008419,-0.0053904973533068406
2025-01-02 05:00:00+00:00,188,-0.316227766016838,-0.0012291206739902995,2,-0.258113883008419,-0.00533545946878276
2025-01-09 05:00:00+00:00,192,-0.9486832980505139,-0.0233951215537712,2,-0.316227766016838,-0.006678764244460675
2025-01-16 05:00:00+00:00,196,0.316227766016838,0.0158164815644916,2,-0.316227766016838,-0.0059227158111644
2025-01-23 05:00:00+00:00,200,-0.19999999999999998,-0.005177226706411801,2,-0.258113883008419,-0.005048731507286025
2025-01-30 05:00:00+00:00,204,-1.0,-0.0193144635777389,2,-0.258113883008419,-0.005661538828015615
2025-02-06 05:00:00+00:00,208,-0.39999999999999997,-0.0160507780969756,2,-0.258113883008419,-0.00517962104848064
2025-02-13 05:00:00+00:00,212,-0.39999999999999997,-0.0119065869957807,2,-0.258113883008419,-0.005687101116713355
2025-02-20 05:00:00+00:00,216,-0.6000000000000001,-0.004798442321910399,2,-0.316227766016838,-0.005652644657660435
2025-02-27 05:00:00+00:00,220,-0.39999999999999997,-0.0139952901328253,2,-0.316227766016838,-0.00642099909111382
2025-03-06 05:00:00+00:00,224,-0.39999999999999997,-0.013726068622097999,2,-0.35811388300841895,-0.0071960640589765435
2025-03-13 05:00:00+00:00,228,-0.19999999999999998,-0.007766792653888358,2,-0.35811388300841895,-0.006745600844302912
2025-03-20 05:00:00+00:00,232,0.7999999999999999,0.0058041232160068006,2,-0.316227766016838,-0.006071511434658537
2025-03-27 05:00:00+00:00,236,0.19999999999999998,0.008664328981189299,2,-0.316227766016838,-0.005516138490681983
2025-04-03 05:00:00+00:00,240,-0.19999999999999998,-0.0052271756884275,2,-0.316227766016838,-0.005729666988322073
2025-04-10 05:00:00+00:00,244,0.6000000000000001,0.008322832957931299,2,-0.258113883008419,-0.004390032495136703
2025-04-17 05:00:00+00:00,248,0.39999999999999997,0.0063131235430653,3,-0.19999999999999998,-0.004073834006865737
2025-04-24 05:00:00+00:00,252,0.6000000000000001,0.0041234173814099,3,-0.19999999999999998,-0.003842223191425918
2025-05-01 05:00:00+00:00,256,0.19999999999999998,0.0013585368475717,3,-0.19999999999999998,-0.003846499731390763
2025-05-08 05:00:00+00:00,260,0.0,0.00032708405917550006,3,-0.19999999999999998,-0.004115445444793458
2025-05-15 05:00:00+00:00,264,0.7999999999999999,0.0028673911374761003,3,-0.19999999999999998,-0.003449487366775028
2025-05-22 05:00:00+00:00,268,0.10540925533894598,-0.0019021398865913001,3,-0.09999999999999999,-0.003483138327405078
2025-05-29 05:00:00+00:00,272,0.0,-0.0006599011854202998,3,0.0,-0.002346377308987533
2025-06-05 05:00:00+00:00,276,0.0,0.0010688199464039005,3,0.0,-0.003083760389891918
2025-06-12 05:00:00+00:00,280,-0.7999999999999999,-0.005571789888538599,3,0.0,-0.003103488548998257
2025-06-19 05:00:00+00:00,284,1.0,0.013587514099488503,3,0.0,-0.0014583896651368877
2025-06-26 05:00:00+00:00,288,0.39999999999999997,0.0006204795380127998,3,0.05270462766947299,-0.0006248267833874677
