model,lookback_days,cost_pips_per_unit_turnover,oos_start,oos_end,gross_total_return,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,breakeven_cost_pips,oos_observations
continuous,3,2.2,2019-10-15,2020-12-30,0.16520189949805864,0.12076746918606385,0.08074710721036427,1.5795777603400432,-0.037645009053510425,119.0846028970644,8.651278267234872,370
sparse,3,2.2,2019-10-15,2020-12-30,0.029034149678363486,0.0014904712660519515,0.001014890673052049,0.020213455507673696,-0.05082907671115633,83.7828094896011,2.3207681805729132,370
continuous,5,2.2,2019-10-15,2020-12-30,0.0315896173306176,0.0008573366778412694,0.0005838359940815163,0.011704436447772238,-0.05960631833025465,93.72057520351503,2.2623374903170825,370
sparse,5,2.2,2019-10-15,2020-12-30,-0.08913062375902114,-0.1051980434360007,-0.0729095190197161,-1.622793225071309,-0.11386327958583753,54.93850265840084,-11.540243857808301,370
continuous,10,2.2,2019-10-15,2020-12-30,-0.05501796076853671,-0.07649711432855089,-0.05275864453168777,-1.1366132594700347,-0.09693041863369578,71.64205916219063,-5.4147792314689305,370
sparse,10,2.2,2019-10-15,2020-12-30,-0.10320751523464444,-0.11113247774607171,-0.07710163925926028,-1.4293244462456212,-0.18925893438171082,27.64074437342407,-26.998648935036037,370
