model,observed_ann_mean,observed_sharpe,ann_mean_ci_low,ann_mean_ci_high,sharpe_ci_low,sharpe_ci_high,bootstrap_prob_ann_mean_positive
partial_1.00,0.027020342374232897,0.3567620973303721,-0.02948908637922335,0.08095166061642127,-0.38499630777260396,1.0736367607493054,0.8275
partial_0.50,0.0326435182158602,0.4739479039880003,-0.021501987021060903,0.08461256560527283,-0.3148064641127801,1.2281799337679455,0.8925
partial_0.25,0.03643942466774593,0.563478691787845,-0.013480687353072172,0.08584886754399823,-0.21144388138986345,1.3059094086545455,0.9305
partial_0.10,0.03082977926386672,0.5235392925956985,-0.014214472699439727,0.07403168702977748,-0.25256895775651467,1.235147204965144,0.914
sparse_20,0.01985080544008913,0.24808055323636446,-0.04847342564686824,0.08399087483371914,-0.5950215661649996,1.0580956881854577,0.725
