model,lookback_days,positive_year_fraction,median_year_return,worst_year_return,median_year_sharpe,mean_turnover
continuous,5,0.5,-0.0024667346798080136,-0.10439823215284738,-0.04451991382422353,61.96752583073679
continuous,10,0.75,0.01738038797907182,-0.011278907384764003,0.2179609239887194,38.174825070589726
continuous,20,0.75,0.038941480024614616,-0.06961349346780288,0.4919445964768838,24.04564788127186
sparse,5,0.5,-0.0036072814010849052,-0.06561133225976012,0.029403205579040415,27.656184172555932
sparse,10,0.5,0.0033146593884483266,-0.0314892965867003,0.024797422714801176,13.468884698056828
sparse,20,0.75,0.043736114413227334,-0.0012045276970240604,0.6116140493134897,6.952268538038795
