excluded_currency,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
AUD,496,2024-01-31,2025-12-29,0.07685617164158787,0.0376200658478418,0.9603756539685605,-0.05201435322142267
EUR,496,2024-01-31,2025-12-29,0.06629113961511757,0.03261083354868373,0.6766207160382304,-0.04385545281523551
GBP,496,2024-01-31,2025-12-29,0.06067097055054882,0.029925863178772258,0.5940063217993077,-0.06790350450557825
JPY,496,2024-01-31,2025-12-29,-0.08439149524924783,-0.0447942204869401,-1.278234049189066,-0.10095990845758351
