asset,observations,start,end,net_total_return,net_sharpe,max_drawdown
EURUSD,257,2024-01-01,2024-12-29,-0.005167827152711135,-0.865260048279707,-0.006074891640838964
USDJPY,257,2024-01-01,2024-12-29,-0.010113493956433128,-0.5011991997625888,-0.030766887733814308
GBPUSD,257,2024-01-01,2024-12-29,-0.013053964678903407,-0.9332374024901596,-0.017472402086262107
AUDUSD,257,2024-01-01,2024-12-29,0.004297045835133906,0.280607376512452,-0.01391225510253824
XAUUSD,257,2024-01-01,2024-12-29,0.03170916050261163,0.8273734237336768,-0.02253191412367328
SPXUSD,257,2024-01-01,2024-12-29,-0.03964519076737161,-1.3129290918669554,-0.05068238897191746
