model,observations,total_return,sharpe,max_drawdown,bootstrap_p_mean_positive,assets,period,cost_assumption
price,345,-0.189805,-2.3826,-0.198130,0.0020,15,2024-01-01_to_2024-12-31,"FX 4.4 pip proxy; metals/index/Brent 15-25bp proxy"
risk_adjusted,345,-0.133721,-2.0222,-0.136859,0.0090,15,2024-01-01_to_2024-12-31,"FX 4.4 pip proxy; metals/index/Brent 15-25bp proxy"
