regime,days,observations,net_return,annualized_mean,sharpe,max_drawdown
low_or_equal_vix_q75,227,227,0.0750613209116111,0.08034881528911654,1.2360326317979995,-0.026258188706009378
high_vix,76,76,-0.019144285557226026,-0.06409391314254542,-0.8345848284260619,-0.05638375257795769
