model,lookback_h4,oos_start,oos_end,gross_total_return,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,breakeven_cost_pips,cap_fraction_oos
unscaled_unit,6,2019-05-27,2022-03-04,0.11335497492001045,-0.20007580723384355,-0.0751589649111104,-1.5339218774374548,-0.2515802741079952,530.95,0.7145186884148768,
vol_scaled_cap_1x,6,2019-05-27,2022-03-04,0.09087483625652926,-0.20869316361985935,-0.07865831398543222,-1.8157736458139446,-0.23712802204090366,518.3999220494362,0.5960326238394342,0.8785300925925926
vol_scaled_cap_3x,6,2019-05-27,2022-03-04,0.14335523915849446,-0.3181934669380506,-0.12545652185055378,-2.057076232244023,-0.34683138570573135,852.5870658051613,0.5700988494369265,0.009432870370370371
unscaled_unit,12,2019-05-27,2022-03-04,0.13580611950316035,-0.10121031060510643,-0.036658369486441744,-0.7140929379943586,-0.21564275465602356,374.85,1.1969885943015242,
vol_scaled_cap_1x,12,2019-05-27,2022-03-04,0.08182956233183503,-0.13954294102767106,-0.05124250311322254,-1.1353419793809822,-0.21282229446177314,368.1177552503935,0.7558053757925661,0.8785300925925926
vol_scaled_cap_3x,12,2019-05-27,2022-03-04,0.16173180180691382,-0.19655156136499996,-0.07373489368023034,-1.141122773991352,-0.292672772752711,607.0666916050819,0.8943792666271762,0.009432870370370371
unscaled_unit,30,2019-05-27,2022-03-04,-0.0391970372246081,-0.17780259819291544,-0.06622630585427491,-1.292468456877789,-0.23596299208417293,248.85,-0.5646683937210337,
vol_scaled_cap_1x,30,2019-05-27,2022-03-04,-0.04735320627243156,-0.1815412262852374,-0.0677146000368366,-1.5078515991996637,-0.2190481748087455,243.94105935849964,-0.7029608916767578,0.8785300925925926
vol_scaled_cap_3x,30,2019-05-27,2022-03-04,-0.03366596384007081,-0.2450159222656484,-0.09368696255031939,-1.4593503183476153,-0.2751520241548683,406.8725914812323,-0.3052537480226316,0.009432870370370371
