excluded_asset,observations,start,end,total_return,sharpe,max_drawdown
EURUSD,258,2025-01-01,2025-12-29,-0.02306197162271051,-0.290600207740585,-0.07011649425325173
USDJPY,258,2025-01-01,2025-12-29,-0.017230572528416976,-0.6929615308326383,-0.026696306350444954
GBPUSD,258,2025-01-01,2025-12-29,-0.03784676767787576,-0.4753800628292191,-0.10217720002626496
AUDUSD,258,2025-01-01,2025-12-29,-0.03784676767787576,-0.4753800628292191,-0.10217720002626496
