model,observations,net_return,annualized_mean,sharpe,max_drawdown,charged_cost_log,annual_turnover
prior_block_fee_approximation,305,0.041054277679949625,0.033242458722651025,0.4895318680100701,-0.0550440799100248,0.023209607481240235,40.20983606557377
corrected_turnover_cost,305,0.054161377827054435,0.04357992842477316,0.6416994137046115,-0.053079181134586206,0.010697987405259074,40.20983606557377
