excluded_asset,observations,start,end,net_total_return,net_sharpe,max_drawdown
EURUSD,258,2024-01-01,2024-12-30,-0.018156444732372545,-0.3228870533142577,-0.05796399988023704
USDJPY,258,2024-01-01,2024-12-30,-0.006599920469053888,-0.14813586902897696,-0.0421660533961411
GBPUSD,258,2024-01-01,2024-12-30,-0.03536620223963227,-0.6288108034507229,-0.06006622796146133
AUDUSD,258,2024-01-01,2024-12-30,-0.030427063032063995,-0.5300120269899347,-0.054549528464507224
XAUUSD,258,2024-01-01,2024-12-30,-0.06622428476430109,-1.357352990137943,-0.08515014239600804
SPXUSD,258,2024-01-01,2024-12-30,0.04234587960487035,0.828295309193135,-0.03820621137348368
