portfolio,asset_count,start,end,observations,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,gross_total_return,annualized_turnover,cost_drag_log_return
fresh_available_4,4,2024-01-30,2024-12-29,236,-0.03145021608355403,-0.03354627628537199,-0.6713797121031522,-0.07832515047255939,-0.0025846754004237305,43.18148079480589,0.02936737290087799
all_available_6,6,2024-01-30,2024-12-29,236,-0.013589677693821578,-0.014504298614900879,-0.3411374707752737,-0.04726567089619049,0.010129872228721526,41.27946867312304,0.02376177151339761
