model,cost_multiplier_vs_locked,observations,start,end,total_return,sharpe,max_drawdown,annualized_mean
carry_2025,0.0,258,2025-01-01,2025-12-29,-0.037230654035255384,-0.46734931657877865,-0.10200156493896406,
carry_2025,1.0,258,2025-01-01,2025-12-29,-0.03757001562828133,-0.4718254737824523,-0.10200156493896406,
carry_2025,2.0,258,2025-01-01,2025-12-29,-0.03790925760149244,-0.47629499958751526,-0.10200156493896417,
reer_value_2025,0.0,258,2025-01-01,2025-12-29,0.010618918025750101,0.28347272394665496,-0.03541505178973137,0.010317283686880452
reer_value_2025,1.0,258,2025-01-01,2025-12-29,0.009698222201223183,0.2592920332655493,-0.035954294968802314,0.009427042904309854
reer_value_2025,2.0,258,2025-01-01,2025-12-29,0.00877836515062591,0.23500890702814423,-0.036493236688466935,0.008536802121739254
reer_value_2024,0.0,259,2024-01-01,2024-12-29,-0.07331862492518815,-1.9535169552182086,-0.07295906640543892,-0.07408750252732388
reer_value_2024,1.0,259,2024-01-01,2024-12-29,-0.07452822401164905,-1.9837738381713987,-0.07376630771164949,-0.07535835573501314
reer_value_2024,2.0,259,2024-01-01,2024-12-29,-0.07573624420595859,-2.0133362515389153,-0.07457284609471737,-0.07662920894270239
