session_rule,annualization,oos_start,oos_end,observations,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover
calendar_all,365.0,2021-01-01,2023-02-27,788,0.17751706016324142,0.07862843898057559,1.2333592599713405,-0.07562331679386103,62.30222324481542
nonzero_range,313.0,2021-01-02,2023-02-27,675,0.08206698176037652,0.03725078929602432,0.5887782647866888,-0.10238118167704091,56.48265615952059
full_session,261.0,2021-01-03,2023-02-27,562,0.024876081832220454,0.011476775283671525,0.1839547398997741,-0.08404535037104532,47.22577445888935
