session_close_est,start,end,observations,gross_total_return,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,cost_drag_log_return
16,2024-01-30,2024-12-29,238,0.03879631727399335,0.02674896080058109,0.028344526706038486,0.46408473551491014,-0.03354350852364696,34.704045553082814,0.011665193897943342
17,2024-01-30,2024-12-29,238,0.033100229704138506,0.020215260237824717,0.02141703959921215,0.3591211116139266,-0.03995457213878828,37.16052472866694,0.012550568738436851
18,2024-01-30,2024-12-29,238,0.037350027518585405,0.02609823424281288,0.02765446426949647,0.4628141056873251,-0.033870990098228915,32.80316974920076,0.010905923843418645
