excluded_asset,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
EURUSD,259,2024-01-01,2024-12-29,-0.07168301066733118,-0.07237169629260712,-1.5252015938065808,-0.08374893791494276
USDJPY,259,2024-01-01,2024-12-29,-0.037869877006346364,-0.03756218057170803,-1.706816982629259,-0.04140199514359488
GBPUSD,259,2024-01-01,2024-12-29,-0.11390733261839836,-0.11766526357828783,-1.691844137944311,-0.10983824949855525
AUDUSD,259,2024-01-01,2024-12-29,-0.0721577211504999,-0.07286936962064276,-1.896576407398685,-0.07358095244068386
