model,cost_pips,asset,net_total_return_standalone,annualized_turnover
full,2.2,EURUSD,0.0866022242749318,71.21012271901053
full,2.2,USDJPY,0.3444589121768782,53.394323770620296
full,4.4,EURUSD,0.05447419866087233,71.21012271901053
full,4.4,USDJPY,0.31491735761417883,53.394323770620296
ensemble,2.2,EURUSD,0.02254971177648102,33.289262048955116
ensemble,2.2,USDJPY,0.22328568222449197,28.42108858104848
ensemble,4.4,EURUSD,0.008176503364077936,33.289262048955116
ensemble,4.4,USDJPY,0.20901621971661544,28.42108858104848
