expected_block_length,adjustment_speed,annualized_mean_log_return_difference,observed_studentized_t,bootstrap_95pct_low,bootstrap_95pct_high,ci_excludes_zero
5,0.5,-0.008305481819008122,-0.7194166166493444,-0.03438900048825244,0.016675322051088595,False
5,0.25,-0.010198387235627463,-0.48519494793196605,-0.056505994942875955,0.03392920447469244,False
5,0.1,0.011652000960883884,0.35901859509265355,-0.05309026674182223,0.07747049802883697,False
10,0.5,-0.008305481819008122,-0.7194166166493444,-0.03408509334300737,0.015887482379856235,False
10,0.25,-0.010198387235627463,-0.48519494793196605,-0.056237979844451606,0.033491855218280665,False
10,0.1,0.011652000960883884,0.35901859509265355,-0.04774963889277417,0.07098109462415014,False
20,0.5,-0.008305481819008122,-0.7194166166493444,-0.03307013550703075,0.014932502083717785,False
20,0.25,-0.010198387235627463,-0.48519494793196605,-0.05469275652986562,0.02994338969705384,False
20,0.1,0.011652000960883884,0.35901859509265355,-0.038624118174282386,0.06093117704159514,False
