vix_quantile,regime,observations,total_return,annualized_mean,sharpe,skewness,max_drawdown,gross_total_return,mean_lagged_vix
0.6,low,185,-0.0119955784846979,-0.0164387173980768,-0.2401738189520984,-0.3221965731145686,-0.06360015265850616,-0.01164719911181189,16.60654054054054
0.6,high,73,-0.02616505415383652,-0.09152588155820851,-0.8956700565947651,-0.7277726235063451,-0.07538481963376586,-0.02616505415383652,25.133972602739725
0.75,low,222,-0.033243040524153056,-0.038376818559601955,-0.5177976382537691,-0.5198931132532311,-0.09814210949775115,-0.032902153200229156,17.346216216216213
0.75,high,36,-0.004762031561912572,-0.033413843115605434,-0.3121600020316504,-0.7692477703362127,-0.04933546794393262,-0.004762031561912572,29.33694444444445
0.9,low,244,-0.007546861463046728,-0.007823859610964308,-0.10548136158333987,-0.4452691577585157,-0.07217743437598989,-0.007196913431951946,18.033278688524586
0.9,high,14,-0.03053031426702546,-0.5581093090941525,-3.929872392960693,-0.465290993191226,-0.04933546794393251,-0.03053031426702546,36.205
