cost_multiplier_vs_locked,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
0.0,258,2025-01-01,2025-12-29,0.010709436826783714,0.010404764488784109,0.2858714397895051,-0.035464399017530845
1.0,258,2025-01-01,2025-12-29,0.009788658537659423,0.009514523706213515,0.26169374594337147,-0.03600361460944557
2.0,258,2025-01-01,2025-12-29,0.008868719097591793,0.008624282923642916,0.23741311147131075,-0.03654252875737585
