check,observations,net_return,annualized_mean,sharpe,max_drawdown,mean_positive_probability,annualized_mean_ci_low,annualized_mean_ci_high
cost_0x,305.0,0.06549932142653869,0.05241892129731508,0.7719115987045067,-0.05230149509201598,,,
cost_1x,305.0,0.054161377827054435,0.04357992842477316,0.6416994137046115,-0.053079181134586206,,,
cost_2x,305.0,0.04294408091638546,0.034740935552231234,0.5112958279610232,-0.053856229004174194,,,
cost_4x,305.0,0.020866305632385007,0.01706294980714739,0.2505639257068623,-0.05714223884517078,,,
iid_bootstrap_5000,,,,,,0.7658,-0.08144451459613668,0.16067636427239115
