source_year,AUD,EUR,GBP,JPY,USD
2022,0.254202501603949,,-2.06737101121871,2.0281112293848,-3.81177015326345
2023,-0.433071259302467,,-3.57676183842871,3.61127531871255,-3.33680827263036
