period,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown,spot_total_return,carry_log_contribution,cost_log_drag,annualized_turnover
2024_primary,259,2024-01-01,2024-12-29,-0.07424892095584079,-0.07506476134048246,-1.9761913773396476,-0.07348981142422673,-0.05369446316919679,-0.020653954460369887,0.001306154685680627,2.5846153846153848
2025_prior,258,2025-01-01,2025-12-29,0.009788658537659423,0.009514523706213515,0.26169374594337147,-0.03600361460944557,,,,
2024_2025_descriptive,517,2024-01-01,2025-12-29,-0.06518705975220773,-0.03285691696514868,-0.8822770431372303,-0.07348981142422673,,,,
