asset,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
EURUSD,259,2024-01-01,2024-12-29,-0.018198977650638715,-0.017870221029100707,-0.9680285025289651,-0.027087040482575375
USDJPY,259,2024-01-01,2024-12-29,-0.05021492947794726,-0.050127140957610096,-1.491981241947401,-0.04988217039702736
GBPUSD,259,2024-01-01,2024-12-29,0.004015092283949917,0.003898754573725315,0.19138524299702275,-0.0270255559945074
AUDUSD,259,2024-01-01,2024-12-29,-0.011207492144477582,-0.010966153927496966,-1.3421364390786727,-0.013870727309901243
