asset,start,end,observations,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover
EURUSD,2024-01-30,2024-12-29,236,0.016951420387004923,0.018111015970974975,0.3030331193711042,-0.04603493014361648,43.868969269148316
USDJPY,2024-01-30,2024-12-29,236,0.02933715231212841,0.03135698493662753,0.3299039623467603,-0.055357345000103475,31.08191959036637
GBPUSD,2024-01-30,2024-12-29,236,-0.025415602730136655,-0.02711512625623791,-0.43460792461198633,-0.05265408492223789,41.64406779661017
AUDUSD,2024-01-30,2024-12-29,236,-0.06364828048264326,-0.06781378963114715,-0.8198440008522738,-0.16153603872033562,60.41282767059058
XAUUSD,2024-01-30,2024-12-29,236,-0.050966345777219146,-0.05432614154821225,-0.521606427610627,-0.15105151244010995,43.23519095034518
SPXUSD,2024-01-30,2024-12-29,236,0.016126351614513812,0.017229030014748847,0.16475531015184647,-0.0987915812808603,27.433836761677632
