model,benchmark,ann_mean_diff_ci_low,ann_mean_diff_ci_high,prob_ann_mean_diff_positive,sharpe_diff_ci_low,sharpe_diff_ci_high,prob_sharpe_diff_positive
partial_0.50,partial_1.00,-0.010576448513229388,0.021810415135459706,0.74,-0.11233740174275511,0.3336507834101162,0.8335
partial_0.50,sparse_20,-0.03785888054258763,0.06499116857316414,0.702,-0.451063555208107,0.8960722010241235,0.764
partial_0.25,partial_1.00,-0.0185440158121825,0.039600226384119294,0.7305,-0.21342404188612427,0.6060009938354152,0.8295
partial_0.25,sparse_20,-0.029064212353079048,0.06259298922218054,0.7675,-0.30720568958454825,0.9200843041697014,0.8525
partial_0.10,partial_1.00,-0.0394130758628332,0.05032842577268531,0.5635,-0.44984713771658735,0.7983197293835074,0.69
partial_0.10,sparse_20,-0.033059083371047675,0.05599992431171101,0.686,-0.28769808462183855,0.8264754292469004,0.826
