formation_session,execution_session,offset,winner,loser,score_AUD,score_EUR,score_GBP,score_JPY
2024-01-30 05:00:00+00:00,2024-01-31 05:00:00+00:00,0,GBP,JPY,-0.03137221194288211,-0.019288029496995603,-0.0017710701382779403,-0.05115353176699928
2024-02-28 05:00:00+00:00,2024-02-29 05:00:00+00:00,0,EUR,JPY,-0.01709664410752233,-0.0017914593264726272,-0.002871829945983808,-0.024984036065520212
2024-03-28 05:00:00+00:00,2024-03-31 05:00:00+00:00,0,AUD,JPY,0.0022823271469481488,-0.005583499147883269,-0.0032859244476015665,-0.008833345499186298
2024-04-28 05:00:00+00:00,2024-04-29 05:00:00+00:00,0,AUD,JPY,0.0006625313821565244,-0.010394940074616214,-0.012557897362738669,-0.04602958535778489
2024-05-27 05:00:00+00:00,2024-05-28 05:00:00+00:00,0,GBP,JPY,0.018428978311798808,0.01449576972602375,0.02410269011146631,0.0020746170960061145
2024-06-25 05:00:00+00:00,2024-06-26 05:00:00+00:00,0,AUD,JPY,-0.0012785269978484088,-0.014380242935268385,-0.006580511314468837,-0.021952413901329702
2024-07-24 05:00:00+00:00,2024-07-25 05:00:00+00:00,0,JPY,AUD,-0.010709632439263969,0.010557629771234853,0.017163621387828613,0.03288972803911686
2024-08-22 05:00:00+00:00,2024-08-25 05:00:00+00:00,0,JPY,GBP,0.017751670016842497,0.023540680893445656,0.01375880130398954,0.04646306886261893
2024-09-22 05:00:00+00:00,2024-09-23 05:00:00+00:00,0,GBP,EUR,0.012927429748784185,0.002910737855413622,0.016406294223839317,0.012884829138512372
2024-10-21 05:00:00+00:00,2024-10-22 05:00:00+00:00,0,AUD,JPY,-0.02106631544501205,-0.03250597067700403,-0.024535743888643914,-0.05212704761930957
2024-11-19 05:00:00+00:00,2024-11-20 05:00:00+00:00,0,AUD,JPY,-0.020022534566346083,-0.02199007146195603,-0.023792421347362157,-0.028963067852185047
2024-12-18 05:00:00+00:00,2024-12-19 05:00:00+00:00,0,JPY,AUD,-0.049820428794123524,-0.02432994936095355,-0.008616075135597425,-0.004351432074664574
2025-01-20 05:00:00+00:00,2025-01-21 05:00:00+00:00,0,AUD,GBP,0.008818130677447812,0.004946903646232988,-0.02000068405387014,-0.008602541034957549
2025-02-18 05:00:00+00:00,2025-02-19 05:00:00+00:00,0,GBP,EUR,0.012187710329032032,0.0016620671746385245,0.023135139207226662,0.018733496366628282
2025-03-19 05:00:00+00:00,2025-03-20 05:00:00+00:00,0,EUR,AUD,0.0009303453546669813,0.041720301930490325,0.030862032664012103,0.018338654549574302
2025-04-17 05:00:00+00:00,2025-04-20 05:00:00+00:00,0,JPY,AUD,0.0007791391757813195,0.039792931360546444,0.02000343570396526,0.04124565650539781
2025-05-18 05:00:00+00:00,2025-05-19 05:00:00+00:00,0,AUD,JPY,0.005251074241865843,-0.0180296254341414,0.00040987264995777134,-0.02337156399050779
2025-06-16 05:00:00+00:00,2025-06-17 05:00:00+00:00,0,EUR,JPY,0.01938945340726437,0.03233005160235892,0.02275595793230987,0.0011997504575293181
2025-07-15 05:00:00+00:00,2025-07-16 05:00:00+00:00,0,EUR,JPY,-0.001642646528559837,0.0019868284611068423,-0.01434940527079601,-0.031077516789311956
2025-08-13 05:00:00+00:00,2025-08-14 05:00:00+00:00,0,GBP,AUD,0.004697533560199838,0.007347295147422012,0.014242541640801682,0.007310455259351738
2025-09-11 05:00:00+00:00,2025-09-14 05:00:00+00:00,0,AUD,JPY,0.016502403386257778,0.0005647401104515847,-9.589041095890373e-05,-0.001705454558056613
2025-10-12 05:00:00+00:00,2025-10-13 05:00:00+00:00,0,EUR,JPY,-0.02272815601690303,-0.01214321270742149,-0.017040291906126253,-0.033911791318443164
2025-11-10 05:00:00+00:00,2025-11-11 05:00:00+00:00,0,AUD,JPY,0.003277184779950257,-0.006764890624698335,-0.013075100067654903,-0.017945408386930983
2025-12-09 05:00:00+00:00,2025-12-10 05:00:00+00:00,0,AUD,JPY,0.015580101035579462,0.00434541392807137,0.009097367835032663,-0.020194733785492105
